isbn,title,authors,publishers,publish_date,number_of_pages,identifiers_goodreads,description,first_sentence,last_modified
9780008117504,Foundation and Empire,"[""Isaac Asimov""]","[""Harper Voyager""]",2016,230.0,,,,
9780008117511,Second Foundation,"[""Isaac Asimov""]","[""Harper Voyager""]",2016,227.0,,,,
9780008117535,Foundation and Earth,"[""Isaac Asimov""]","[""Harper Voyager Harper Collins Publishers""]","Mar 18, 2016",,,,,
9780008277765,The Caves of Steel,"[""Isaac Asimov""]","[""HarperVoyager""]","Apr 19, 2018",272.0,,,,
9780008277772,The Naked Sun,"[""Isaac Asimov""]","[""HarperVoyager""]",19 April 2018,256.0,,,,
9780008277789,Robots of Dawn,"[""Isaac Asimov""]","[""HARPER VOYAGER""]","Jul 06, 2018",,,,,
9780008277796,Robots and Empire,"[""Isaac Asimov""]","[""Harper Collins USA""]",,,,,,
9780008277802,The Rest of the Robots,"[""Isaac Asimov""]","[""Fiction""]","Mar 17, 2018",,,,,
9780008277819,"The Complete Robot [Paperback] [Jan 01, 2018] ISAAC ASIMOV","[""Isaac Asimov""]","[""Fiction""]","Mar 14, 2018",,,,,
9780008279554,"I, Robot","[""Isaac Asimov""]","[""Fiction""]","May 17, 2018",,,,,
9780008305918,,,,,,,,,
9780008305925,,,,,,,,,
9780008305932,,,,,,,,,
9780008305949,,,,,,,,,
9780008372347,"The Stars, Like Dust","[""Isaac Asimov""]","[""HarperVoyager""]","Aug 08, 2019",224.0,,,,
9780008372354,Pebble in the Sky,"[""Isaac Asimov""]","[""HarperVoyager""]","July 25, 2019",224.0,,,,
9780020913504,World of Carbon,"[""Isaac Asimov""]","[""Macmillan Pub Co""]",March 1962,,"[""977250""]",,,
9780060156121,Asimov's chronology of science and discovery,"[""Isaac Asimov""]","[""Harper & Row""]",1989,707.0,"[""2517807""]",,,
9780060201678,Young extraterrestrials,"[""Isaac Asimov"", ""Martin H. Greenberg"", ""Charles G. Waugh"", ""Keith Laumer"", ""Lloyd Biggle Jr"", ""Piers Anthony"", ""Eric Frank Russell"", ""Frank Belknap Long"", ""R. A. Lafferty"", ""Jesse F. Bone"", ""Edward D. Hoch"", ""Zenna Henderson"", ""Murray Leinster"", ""James E. Gunn""]","[""Harper & Row""]",1984,240.0,"[""4503875"", ""2089879""]",,,
9780060201685,Young Extraterrestrials,"[""Isaac Asimov"", ""Martin H. Greenberg"", ""Charles G. Waugh""]","[""Harper & Row, Publishers""]","Oct 01, 1984",240.0,,,,
